component,job,region1,region2,status,datetime
Component1,job0,0.3359222412109375,0.36951446533203125,OK,2025-09-03 16:21:01
Component1,job1,0.237548828125,0.29993438720703125,OK,2025-09-03 16:21:01
Component1,job2,0.23514556884765625,0.287933349609375,OK,2025-09-03 16:21:02
Component1,job3,0.2591400146484375,0.39110565185546875,OK,2025-09-03 16:21:02
Component1,job4,0.395904541015625,0.5062789916992188,OK,2025-09-03 16:21:03
Component1,job5,2.5554122924804688,2.7881622314453125,FAIL,2025-09-03 16:21:03
Component1,job6,0.27593231201171875,0.33831787109375,OK,2025-09-03 16:21:04
Component1,job7,0.23754119873046875,0.30712890625,OK,2025-09-03 16:21:04
Component1,job8,0.2399444580078125,0.30233001708984375,OK,2025-09-03 16:21:05
Component1,job9,0.26154327392578125,0.29033660888671875,OK,2025-09-03 16:21:05
Component1,job10,0.357513427734375,0.31432342529296875,OK,2025-09-03 16:21:06
Component1,job11,0.237548828125,0.3143310546875,OK,2025-09-03 16:21:06
Component1,job12,2.490631103515625,2.79296875,FAIL,2025-09-03 16:21:06
Component1,job13,0.333526611328125,0.3167266845703125,OK,2025-09-03 16:21:07
Component1,job14,0.2327423095703125,0.287933349609375,OK,2025-09-03 16:21:07
Component1,job15,0.21355438232421875,0.2855377197265625,OK,2025-09-03 16:21:08
Component1,job16,0.2207489013671875,0.4774932861328125,OK,2025-09-03 16:21:08
Component1,job17,0.4246978759765625,0.5206832885742188,OK,2025-09-03 16:21:09
Component1,job18,0.26873779296875,0.242340087890625,OK,2025-09-03 16:21:09
Component1,job19,0.27353668212890625,0.35991668701171875,OK,2025-09-03 16:21:10
Component1,job20,0.26154327392578125,0.3623199462890625,OK,2025-09-03 16:21:10
Component1,job21,0.22554779052734375,0.2903289794921875,OK,2025-09-03 16:21:11
Component1,job22,0.2591400146484375,0.31192779541015625,OK,2025-09-03 16:21:11
Component1,job23,0.3095245361328125,0.3287200927734375,OK,2025-09-03 16:21:12
Component1,job24,0.27353668212890625,0.3359222412109375,OK,2025-09-03 16:21:12
Component1,job25,2.5578155517578125,2.8721466064453125,FAIL,2025-09-03 16:21:13
Component1,job26,0.3839111328125,0.2903289794921875,OK,2025-09-03 16:21:13
Component1,job27,0.19915008544921875,0.287933349609375,OK,2025-09-03 16:21:14
Component1,job28,0.2303466796875,0.28553009033203125,OK,2025-09-03 16:21:14
Component1,job29,0.24713897705078125,0.43669891357421875,OK,2025-09-03 16:21:15
Component1,job30,0.441497802734375,0.5086822509765625,OK,2025-09-03 16:21:15
Component1,job31,0.2783355712890625,0.26873779296875,OK,2025-09-03 16:21:16
Component1,job32,0.29512786865234375,0.333526611328125,OK,2025-09-03 16:21:16
Component1,job33,0.249542236328125,0.45589447021484375,OK,2025-09-03 16:21:17
Component1,job34,0.242340087890625,0.30472564697265625,OK,2025-09-03 16:21:17
Component1,job35,0.24234771728515625,0.30233001708984375,OK,2025-09-03 16:21:18
Component1,job36,0.33112335205078125,0.32872772216796875,OK,2025-09-03 16:21:18
Component1,job37,0.35752105712890625,0.43430328369140625,OK,2025-09-03 16:21:19
Component1,job38,2.5578155517578125,2.8577423095703125,FAIL,2025-09-03 16:21:19
Component1,job39,0.40550994873046875,0.31912994384765625,OK,2025-09-03 16:21:20
Component1,job40,0.242340087890625,0.3359222412109375,OK,2025-09-03 16:21:21
Component1,job41,0.22554779052734375,0.27593231201171875,OK,2025-09-03 16:21:21
Component1,job42,0.20874786376953125,0.40550994873046875,OK,2025-09-03 16:21:21
Component1,job43,0.43909454345703125,0.532684326171875,OK,2025-09-03 16:21:22
Component1,job44,0.249542236328125,0.28313446044921875,OK,2025-09-03 16:21:22
Component1,job45,0.30712890625,0.319122314453125,OK,2025-09-03 16:21:23
Component1,job46,0.333526611328125,0.4007110595703125,OK,2025-09-03 16:21:23
Component1,job47,0.25194549560546875,0.30712890625,OK,2025-09-03 16:21:24
Component1,job48,0.25673675537109375,0.2783355712890625,OK,2025-09-03 16:21:24
