component,job,region1,region2,status,datetime
Component1,job0,1.3148956298828125,1.19732666015625,OK,2025-08-27 22:42:11
Component1,job1,1.247711181640625,1.158935546875,OK,2025-08-27 22:42:14
Component1,job2,1.3077011108398438,1.1853256225585938,OK,2025-08-27 22:42:17
Component1,job3,1.2789077758789062,1.178131103515625,OK,2025-08-27 22:42:20
Component1,job4,1.3172988891601562,1.1829299926757812,OK,2025-08-27 22:42:23
Component1,job5,1.3148956298828125,1.2189254760742188,OK,2025-08-27 22:42:27
Component1,job6,1.3676834106445312,1.1997299194335938,OK,2025-08-27 22:42:30
Component1,job7,1.3077011108398438,1.178131103515625,OK,2025-08-27 22:42:33
Component1,job8,1.3029022216796875,1.158935546875,OK,2025-08-27 22:42:36
Component1,job9,1.3148956298828125,1.170928955078125,OK,2025-08-27 22:42:39
Component1,job10,1.2957000732421875,1.178131103515625,OK,2025-08-27 22:42:42
